doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1111/gcb.17375,Island biodiversity in peril: Anticipating a loss of mammals' functional diversity with future species extinctions.,Sonia Llorente-Culebras; Carlos P Carmona; William D Carvalho; André Menegotto; Rafael Molina-Venegas; Richard J Ladle; Ana M C Santos,2024-06-01,Global change biology,"Islands are biodiversity hotspots that host unique assemblages. However, a substantial proportion of island species are threatened and their long-term survival is uncertain. Identifying and preserving vulnerable species has become a priority, but it is also essential to combine this information with other facets of biodiversity like functional diversity, to understand how future extinctions might affect ecosystem stability and functioning. Focusing on mammals, we (i) assessed how much functional space would be lost if threatened species go extinct, (ii) determined the minimum number of extinctions that would cause a significant functional loss, (iii) identified the characteristics (e.g., biotic, climatic, geographic, or orographic) of the islands most vulnerable to future changes in the functional space, and (iv) quantified how much of that potential functional loss would be offset by introduced species. Using trait information for 1474 mammal species occurring in 318 islands worldwide, we built trait probability density functions to quantify changes in functional richness and functional redundancy in each island if the mammals categorized by IUCN as threatened disappeared. We found that the extinction of threatened mammals would reduce the functional space in 63% of the assessed islands, although these extinctions in general would cause a reduction of less than 15% of their overall functional space. Also, on most islands, the extinction of just a few species would be sufficient to cause a significant loss of functional diversity. The potential functional loss would be higher on small, isolated, and/or species-rich islands, and, in general, the functional space lost would not be offset by introduced species. Our results show that the preservation of native species and their ecological roles remains crucial for maintaining the current functioning of island ecosystems. Therefore, conservation measures considering functional diversity are imperative to safeguard the unique functional roles of threatened mammal species on islands.",38895806,https://pubmed.ncbi.nlm.nih.gov/38895806/,,,,
10.1111/cobi.14270,Preventing extinction in an age of species migration and planetary change.,Erick J Lundgren; Arian D Wallach; Jens-Christian Svenning; Martin A Schlaepfer; Astrid L A Andersson; Daniel Ramp,2024-12-01,Conservation biology : the journal of the Society for Conservation Biology,"International and national conservation policies almost exclusively focus on conserving species in their historic native ranges, thus excluding species that have been introduced by people and some of those that have extended their ranges on their own accord. Given that many of such migrants are threatened in their native ranges, conservation goals that explicitly exclude these populations may overlook opportunities to prevent extinctions and respond dynamically to rapidly changing environmental and climatic conditions. Focusing on terrestrial mammals, we quantified the number of threatened mammals that have established new populations through assisted migration (i.e., introduction). We devised 4 alternative scenarios for the inclusion of assisted-migrant populations in mainstream conservation policy with the aim of preventing global species extinctions. We then used spatial prioritization algorithms to simulate how these scenarios could change global spatial conservation priorities. We found that 22% (70 species out of 265) of all identified assisted-migrant mammals were threatened in their native ranges, mirroring the 25% of all mammals that are threatened. Reassessing global threat statuses by combining native and migrant ranges reduced the threat status of 23 species (∼33% of threatened assisted migrants). Thus, including migrant populations in threat assessments provides a more accurate assessment of actual global extinction risk among species. Spatial prioritization simulations showed that reimagining the role of assisted-migrant populations in preventing species extinction could increase the importance of overlooked landscapes, particularly in central Australia, Europe, and the southwestern United States. Our results indicated that these various and nonexhaustive ways to consider assisted-migrant populations, with due consideration of potential conservation conflicts with resident taxa, may provide unprecedented opportunities to prevent species extinctions.",38628146,https://pubmed.ncbi.nlm.nih.gov/38628146/,PMC11589049,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11589049/,,
10.1111/nph.19592,Extinction risk predictions for the world's flowering plants to support their conservation.,Steven P Bachman; Matilda J M Brown; Tarciso C C Leão; Eimear Nic Lughadha; Barnaby E Walker,2024-04-01,The New phytologist,"More than 70% of all vascular plants lack conservation status assessments. We aimed to address this shortfall in knowledge of species extinction risk by using the World Checklist of Vascular Plants to generate the first comprehensive set of predictions for a large clade: angiosperms (flowering plants, c. 330 000 species). We used Bayesian Additive Regression Trees (BART) to predict the extinction risk of all angiosperms using predictors relating to range size, human footprint, climate, and evolutionary history and applied a novel approach to estimate uncertainty of individual species-level predictions. From our model predictions, we estimate 45.1% of angiosperm species are potentially threatened with a lower bound of 44.5% and upper bound of 45.7%. Our species-level predictions, with associated uncertainty estimates, do not replace full global, or regional Red List assessments, but can be used to prioritise predicted threatened species for full Red List assessment and fast-track predicted non-threatened species for Least Concern assessments. Our predictions and uncertainty estimates can also guide fieldwork, inform systematic conservation planning and support global plant conservation efforts and targets.",38437880,https://pubmed.ncbi.nlm.nih.gov/38437880/,,,,
10.1111/gcb.17119,Modelling the probability of meeting IUCN Red List criteria to support reassessments.,Etienne G Henry; Luca Santini; Stuart H M Butchart; Manuela González-Suárez; Pablo M Lucas; Ana Benítez-López; Giordano Mancini; Martin Jung; Pedro Cardoso; Alexander Zizka; Carsten Meyer; H Reşit Akçakaya; Alex J Berryman; Victor Cazalis; Moreno Di Marco,2024-01-01,Global change biology,"Comparative extinction risk analysis-which predicts species extinction risk from correlation with traits or geographical characteristics-has gained research attention as a promising tool to support extinction risk assessment in the IUCN Red List of Threatened Species. However, its uptake has been very limited so far, possibly because existing models only predict a species' Red List category, without indicating which Red List criteria may be triggered. This prevents such approaches to be integrated into Red List assessments. We overcome this implementation gap by developing models that predict the probability of species meeting individual Red List criteria. Using data on the world's birds, we evaluated the predictive performance of our criterion-specific models and compared it with the typical criterion-blind modelling approach. We compiled data on biological traits (e.g. range size, clutch size) and external drivers (e.g. change in canopy cover) often associated with extinction risk. For each specific criterion, we modelled the relationship between extinction risk predictors and species' Red List category under that criterion using ordinal regression models. We found criterion-specific models were better at identifying threatened species compared to a criterion-blind model (higher sensitivity), but less good at identifying not threatened species (lower specificity). As expected, different covariates were important for predicting extinction risk under different criteria. Change in annual temperature was important for criteria related to population trends, while high forest dependency was important for criteria related to restricted area of occupancy or small population size. Our criteria-specific method can support Red List assessors by producing outputs that identify species likely to meet specific criteria, and which are the most important predictors. These species can then be prioritised for re-evaluation. We expect this new approach to increase the uptake of extinction risk models in Red List assessments, bridging a long-standing research-implementation gap.",38273572,https://pubmed.ncbi.nlm.nih.gov/38273572/,,,,
10.1111/cobi.14227,A standard approach for including climate change responses in IUCN Red List assessments.,Giordano Mancini; Luca Santini; Victor Cazalis; H Reşit Akçakaya; Pablo M Lucas; Thomas M Brooks; Wendy Foden; Moreno Di Marco,2024-06-01,Conservation biology : the journal of the Society for Conservation Biology,"The International Union for Conservation of Nature (IUCN) Red List is a central tool for extinction risk monitoring and influences global biodiversity policy and action. But, to be effective, it is crucial that it consistently accounts for each driver of extinction. Climate change is rapidly becoming a key extinction driver, but consideration of climate change information remains challenging for the IUCN. Several methods can be used to predict species' future decline, but they often fail to provide estimates of the symptoms of endangerment used by IUCN. We devised a standardized method to measure climate change impact in terms of change in habitat quality to inform criterion A3 on future population reduction. Using terrestrial nonvolant tetrapods as a case study, we measured this impact as the difference between the current and the future species climatic niche, defined based on current and future bioclimatic variables under alternative model algorithms, dispersal scenarios, emission scenarios, and climate models. Our models identified 171 species (13% out of those analyzed) for which their current red-list category could worsen under criterion A3 if they cannot disperse beyond their current range in the future. Categories for 14 species (1.5%) could worsen if maximum dispersal is possible. Although ours is a simulation exercise and not a formal red-list assessment, our results suggest that considering climate change impacts may reduce misclassification and strengthen consistency and comprehensiveness of IUCN Red List assessments.",38111977,https://pubmed.ncbi.nlm.nih.gov/38111977/,,,,
10.1111/nph.19295,Re-evaluating the importance of threatened species in maintaining global phytoregions.,Matilda J M Brown; Barnaby E Walker; Andrew P Budden; Eimear Nic Lughadha,2023-11-01,The New phytologist,"Anthropogenic introductions are known to be changing the structure of global phytogeographical regions (phytoregions), but previous studies have been limited by incomplete or biased data sets that are likely to underestimate the importance of threatened species. In this work, we analyse a comprehensive data set of all known species and their occurrences (at botanical country resolution) to quantify the impact of potential future extinction scenarios. We used Infomap, a network-based community detection algorithm, to generate phytoregional delineations for six species-distribution scenarios (native, introduced and extinctions of species that are either documented as threatened or likely to be threatened, as well as combinations thereof). We compared the numbers and sizes of phytoregions to characterise the amount and spatial distribution of changes in global phytoregions under each scenario. Extinctions of species that are predicted to be threatened had a greater homogenising effect on phytoregions than introductions, and there was some evidence that introductions may even mitigate the homogenisation caused by extinctions, though this interaction is complex. This research provides the first evidence that the loss of threatened species would have significant ramifications for global phytoregions and demonstrates the need to consider extinction processes in studies of anthropogenic effects on biodiversity patterns.",37798820,https://pubmed.ncbi.nlm.nih.gov/37798820/,,,,
10.1016/j.cub.2023.07.047,Incorporating global change reveals extinction risk beyond the current Red List.,Shijia Peng; Nawal Shrestha; Yuan Luo; Yaoqi Li; Hongyu Cai; Haining Qin; Keping Ma; Zhiheng Wang,2023-09-11,Current biology : CB,"Global changes over the past few decades have caused species distribution shifts and triggered population declines and local extinctions of many species. The International Union for Conservation of Nature (IUCN) Red List of Threatened Species (Red List) is regarded as the most comprehensive tool for assessing species extinction risk and has been used at regional, national, and global scales. However, most Red Lists rely on the past and current status of species populations and distributions but do not adequately reflect the risks induced by future global changes. Using distribution maps of >4,000 endemic woody species in China, combined with ensembled species distribution models, we assessed the species threat levels under future climate and land-cover changes using the projected changes in species' suitable habitats and compared our updated Red List with China's existing Red List. We discover an increased number of threatened species in the updated Red List and increased threat levels of >50% of the existing threatened species compared with the existing one. Over 50% of the newly identified threatened species are not adequately covered by protected areas. The Yunnan-Guizhou Plateau, rather than the Hengduan Mountains, is the distribution center of threatened species on the updated Red Lists, as opposed to the threatened species on the existing Red List. Our findings suggest that using Red Lists without considering the impacts of future global changes will underestimate the extinction risks and lead to a biased estimate of conservation priorities, potentially limiting the ability to meet the Kunming-Montreal global conservation targets.",37591250,https://pubmed.ncbi.nlm.nih.gov/37591250/,,,,
10.1111/nph.19214,Three in four undescribed plant species are threatened with extinction.,Matilda J M Brown; Steven P Bachman; Eimear Nic Lughadha,2023-11-01,The New phytologist,,37583098,https://pubmed.ncbi.nlm.nih.gov/37583098/,,,,
10.1111/cobi.14139,Prioritizing the reassessment of data-deficient species on the IUCN Red List.,Victor Cazalis; Luca Santini; Pablo M Lucas; Manuela González-Suárez; Michael Hoffmann; Ana Benítez-López; Michela Pacifici; Aafke M Schipper; Monika Böhm; Alexander Zizka; Viola Clausnitzer; Carsten Meyer; Martin Jung; Stuart H M Butchart; Pedro Cardoso; Giordano Mancini; H Reşit Akçakaya; Bruce E Young; Guillaume Patoine; Moreno Di Marco,2023-12-01,Conservation biology : the journal of the Society for Conservation Biology,"Despite being central to the implementation of conservation policies, the usefulness of the International Union for Conservation of Nature (IUCN) Red List of Threatened Species is hampered by the 14% of species classified as data-deficient (DD) because information to evaluate these species' extinction risk was lacking when they were last assessed or because assessors did not appropriately account for uncertainty. Robust methods are needed to identify which DD species are more likely to be reclassified in one of the data-sufficient IUCN Red List categories. We devised a reproducible method to help red-list assessors prioritize reassessment of DD species and tested it with 6887 DD species of mammals, reptiles, amphibians, fishes, and Odonata (dragonflies and damselflies). For each DD species in these groups, we calculated its probability of being classified in a data-sufficient category if reassessed today from covariates measuring available knowledge (e.g., number of occurrence records or published articles available), knowledge proxies (e.g., remoteness of the range), and species characteristics (e.g., nocturnality); calculated change in such probability since last assessment from the increase in available knowledge (e.g., new occurrence records); and determined whether the species might qualify as threatened based on recent rate of habitat loss determined from global land-cover maps. We identified 1907 species with a probability of being reassessed in a data-sufficient category of >0.5; 624 species for which this probability increased by >0.25 since last assessment; and 77 species that could be reassessed as near threatened or threatened based on habitat loss. Combining these 3 elements, our results provided a list of species likely to be data-sufficient such that the comprehensiveness and representativeness of the IUCN Red List can be improved.",37394972,https://pubmed.ncbi.nlm.nih.gov/37394972/,,,,
10.1111/brv.12974,More losers than winners: investigating Anthropocene defaunation through the diversity of population trends.,Catherine Finn; Florencia Grattarola; Daniel Pincheira-Donoso,2023-10-01,Biological reviews of the Cambridge Philosophical Society,"The global-scale decline of animal biodiversity ('defaunation') represents one of the most alarming consequences of human impacts on the planet. The quantification of this extinction crisis has traditionally relied on the use of IUCN Red List conservation categories assigned to each assessed species. This approach reveals that a quarter of the world's animal species are currently threatened with extinction, and ~1% have been declared extinct. However, extinctions are preceded by progressive population declines through time that leave demographic 'footprints' that can alert us about the trajectories of species towards extinction. Therefore, an exclusive focus on IUCN conservation categories, without consideration of dynamic population trends, may underestimate the true extent of the processes of ongoing extinctions across nature. In fact, emerging evidence (e.g. the Living Planet Report), reveals a widespread tendency for sustained demographic declines (an average 69% decline in population abundances) of species globally. Yet, animal species are not only declining. Many species worldwide exhibit stable populations, while others are even thriving. Here, using population trend data for >71,000 animal species spanning all five groups of vertebrates (mammals, birds, reptiles, amphibians and fishes) and insects, we provide a comprehensive global-scale assessment of the diversity of population trends across species undergoing not only declines, but also population stability and increases. We show a widespread global erosion of species, with 48% undergoing declines, while 49% and 3% of species currently remain stable or are increasing, respectively. Geographically, we reveal an intriguing pattern similar to that of threatened species, whereby declines tend to concentrate around tropical regions, whereas stability and increases show a tendency to expand towards temperate climates. Importantly, we find that for species currently classed by the IUCN Red List as 'non-threatened', 33% are declining. Critically, in contrast with previous mass extinction events, our assessment shows that the Anthropocene extinction crisis is undergoing a rapid biodiversity imbalance, with levels of declines (a symptom of extinction) greatly exceeding levels of increases (a symptom of ecological expansion and potentially of evolution) for all groups. Our study contributes a further signal indicating that global biodiversity is entering a mass extinction, with ecosystem heterogeneity and functioning, biodiversity persistence, and human well-being under increasing threat.",37189305,https://pubmed.ncbi.nlm.nih.gov/37189305/,,,,
