doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1002/ece3.8768,Where did the finch go? Insights from radio telemetry of the medium ground finch (Geospiza fortis).,Marc-Olivier Beausoleil; Carlos Camacho; Julio Rabadán-González; Kristen Lalla; Roxanne Richard; Paola Carrion-Avilés; Andrew P Hendry; Rowan D H Barrett,2022-04-01,Ecology and evolution,"Movement patterns and habitat selection of animals have important implications for ecology and evolution. Darwin's finches are a classic model system for ecological and evolutionary studies, yet their spatial ecology remains poorly studied. We tagged and radio-tracked five (three females, two males) medium ground finches (Geospiza fortis) to examine the feasibility of telemetry for understanding their movement and habitat use. Based on 143 locations collected during a 3-week period, we analyzed for the first time home-range size and habitat selection patterns of finches at El Garrapatero, an arid coastal ecosystem on Santa Cruz Island (Galápagos). The average 95% home range and 50% core area for G. fortis in the breeding season was 20.54 ha ± 4.04 ha SE and 4.03 ha ± 1.11 ha SE, respectively. For most of the finches, their home range covered a diverse set of habitats. Three finches positively selected the dry-forest habitat, while the other habitats seemed to be either negatively selected or simply neglected by the finches. In addition, we noted a communal roosting behavior in an area close to the ocean, where the vegetation is greener and denser than the more inland dry-forest vegetation. We show that telemetry on Darwin's finches provides valuable data to understand the movement ecology of the species. Based on our results, we propose a series of questions about the ecology and evolution of Darwin's finches that can be addressed using telemetry.",35494501,https://pubmed.ncbi.nlm.nih.gov/35494501/,PMC9039628,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9039628/,,
10.1098/rsos.211198,"Darwin's small and medium ground finches might have taste preferences, but not for human foods.",D Lever; L V Rush; R Thorogood; K M Gotanda,2022-01-01,Royal Society open science,"Urbanization is rapidly changing ecological niches. On the inhabited Galapagos Islands, Darwin's finches consume human-introduced foods preferentially; however, it remains unclear why. Here, we presented pastry with flavour profiles typical of human foods (oily, salty and sweet) to small ground finches (Geospiza fuliginosa) and medium ground finches (Geospiza fortis) to test if latent taste preferences might drive the selection of human foods. If human food flavours were consumed more than a neutral or bitter control only at sites with human foods, then we predicted tastes were acquired after urbanization; however, if no site differences were found then this would indicate latent taste preferences. Contrary to both predictions, we found little evidence that human food flavours were preferred compared with control flavours at any site. Instead, finches showed a weak aversion to oily foods, but only at remote (no human foods present) sites. This was further supported by behavioural responses, with beak-wiping occurring more often at remote sites after finches tasted flavours associated with human foods. Our results suggest, therefore, that while Darwin's finches regularly exposed to human foods might have acquired a tolerance to human food flavours, latent taste preferences are unlikely to have played a major role in their dietary response to increased urbanization.",35116148,https://pubmed.ncbi.nlm.nih.gov/35116148/,PMC8790341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8790341/,,
10.1002/ece3.8236,Urbanization alters interactions between Darwin's finches and Tribulus cistoides on the Galápagos Islands.,L Ruth Rivkin; Reagan A Johnson; Jaime A Chaves; Marc T J Johnson,2021-11-01,Ecology and evolution,"Emerging evidence suggests that humans shape the ecology and evolution of species interactions. Islands are particularly susceptible to anthropogenic disturbance due to the fragility of their ecosystems; however, we know little about the susceptibility of species interactions to urbanization on islands. To address this gap, we studied how the earliest stages of urban development affect interactions between Darwin's finches and its key food resource, Tribulus cistoides, in three towns on the Galápagos Islands. We measured variation in mericarp predation rates, mericarp morphology, and finch community composition using population surveys, experimental manipulations, and finch observations conducted in habitats within and outside of each town. We found that both seed and mericarp removal rates were higher in towns than natural habitats. We also found that selection on mericarp size and defense differed between habitats in the survey and experimental populations and that towns supported smaller and less diverse finch communities than natural habitats. Together, our results suggest that even moderate levels of urbanization can alter ecological interactions between Darwin's finches and T. cistoides, leading to modified natural selection on T. cistoides populations. Our study demonstrates that trophic interactions on islands may be susceptible to the anthropogenic disturbance associated with urbanization. Despite containing the highest diversity in the world, studies of urbanization are lacking from the tropics. Our study identified signatures of urbanization on species interactions in a tropical island ecosystem and suggests that changes to the ecology of species interactions has the potential to alter evolution in urban environments.",34824787,https://pubmed.ncbi.nlm.nih.gov/34824787/,PMC8601916,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8601916/,,
10.1038/s41467-021-27173-z,A supergene underlies linked variation in color and morphology in a Holarctic songbird.,Erik R Funk; Nicholas A Mason; Snæbjörn Pálsson; Tomáš Albrecht; Jeff A Johnson; Scott A Taylor,2021-11-25,Nature communications,"The genetic architecture of a phenotype can have considerable effects on the evolution of a trait or species. Characterizing genetic architecture provides insight into the complexity of a given phenotype and, potentially, the role of the phenotype in evolutionary processes like speciation. We use genome sequences to investigate the genetic basis of phenotypic variation in redpoll finches (Acanthis spp.). We demonstrate that variation in redpoll phenotype is broadly controlled by a ~55-Mb chromosomal inversion. Within this inversion, we find multiple candidate genes related to melanogenesis, carotenoid coloration, and bill shape, suggesting the inversion acts as a supergene controlling multiple linked traits. A latitudinal gradient in ecotype distribution suggests supergene driven variation in color and bill morphology are likely under environmental selection, maintaining supergene haplotypes as a balanced polymorphism. Our results provide a mechanism for the maintenance of ecotype variation in redpolls despite a genome largely homogenized by gene flow.",34824228,https://pubmed.ncbi.nlm.nih.gov/34824228/,PMC8616904,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8616904/,,
10.1073/pnas.2105957118,"Geometry and dynamics link form, function, and evolution of finch beaks.",Salem Al-Mosleh; Gary P T Choi; Arhat Abzhanov; L Mahadevan,2021-11-16,Proceedings of the National Academy of Sciences of the United States of America,"Darwin's finches are a classic example of adaptive radiation, exemplified by their adaptive and functional beak morphologies. To quantify their form, we carry out a morphometric analysis of the three-dimensional beak shapes of all of Darwin's finches and find that they can be fit by a transverse parabolic shape with a curvature that increases linearly from the base toward the tip of the beak. The morphological variation of beak orientation, aspect ratios, and curvatures allows us to quantify beak function in terms of the elementary theory of machines, consistent with the dietary variations across finches. Finally, to explain the origin of the evolutionary morphometry and the developmental morphogenesis of the finch beak, we propose an experimentally motivated growth law at the cellular level that simplifies to a variant of curvature-driven flow at the tissue level and captures the range of observed beak shapes in terms of a simple morphospace. Altogether, our study illuminates how a minimal combination of geometry and dynamics allows for functional form to develop and evolve.",34750258,https://pubmed.ncbi.nlm.nih.gov/34750258/,PMC8609615,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8609615/,,
10.1016/j.cub.2021.09.085,A multispecies BCO2 beak color polymorphism in the Darwin's finch radiation.,Erik D Enbody; C Grace Sprehn; Arhat Abzhanov; Huijuan Bi; Mariya P Dobreva; Owen G Osborne; Carl-Johan Rubin; Peter R Grant; B Rosemary Grant; Leif Andersson,2021-12-20,Current biology : CB,"Carotenoid-based polymorphisms are widespread in populations of birds, fish, and reptiles,1 but generally little is known about the factors affecting their maintenance in populations.2 We report a combined field and molecular-genetic investigation of a nestling beak color polymorphism in Darwin's finches. Beaks are pink or yellow, and yellow is recessive.3 Here we show that the polymorphism arose in the Galápagos half a million years ago through a mutation associated with regulatory change in the BCO2 gene and is shared by 14 descendant species. The polymorphism is probably a balanced polymorphism, maintained by ecological selection associated with survival and diet. In cactus finches, the frequency of the yellow genotype is correlated with cactus fruit abundance and greater hatching success and may be altered by introgressive hybridization. Polymorphisms that are hidden as adults, as here, may be far more common than is currently recognized, and contribute to diversification in ways that are yet to be discovered.",34687609,https://pubmed.ncbi.nlm.nih.gov/34687609/,,,,
10.1073/pnas.2107434118,Morphological ghosts of introgression in Darwin's finch populations.,Peter R Grant; B Rosemary Grant,2021-08-03,Proceedings of the National Academy of Sciences of the United States of America,"Many species of plants, animals, and microorganisms exchange genes well after the point of evolutionary divergence at which taxonomists recognize them as species. Genomes contain signatures of past gene exchange and, in some cases, they reveal a legacy of lineages that no longer exist. But genomic data are not available for many organisms, and particularly problematic for reconstructing and interpreting evolutionary history are communities that have been depleted by extinctions. For these, morphology may substitute for genes, as exemplified by the history of Darwin's finches on the Galápagos islands of Floreana and San Cristóbal. Darwin and companions collected seven specimens of a uniquely large form of Geospiza magnirostris in 1835. The populations became extinct in the next few decades, partly due to destruction of Opuntia cactus by introduced goats, whereas Geospiza fortis has persisted to the present. We used measurements of large samples of G. fortis collected for museums in the period 1891 to 1906 to test for unusually large variances and skewed distributions of beak and body size resulting from introgression. We found strong evidence of hybridization on Floreana but not on San Cristóbal. The skew is in the direction of the absent G. magnirostris We estimate introgression influenced 6% of the frequency distribution that was eroded by selection after G. magnirostris became extinct on these islands. The genetic residuum of an extinct species in an extant one has implications for its future evolution, as well as for a conservation program of reintroductions in extinction-depleted communities.",34330836,https://pubmed.ncbi.nlm.nih.gov/34330836/,PMC8346875,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8346875/,,
10.1371/journal.pone.0237687,Sex identification in embryos and adults of Darwin's finches.,Mariya P Dobreva; Joshua G Lynton-Jenkins; Jaime A Chaves; Masayoshi Tokita; Camille Bonneaud; Arkhat Abzhanov,2021-01-01,PloS one,"Darwin's finches are an iconic example of adaptive radiation and evolution under natural selection. Comparative genetic studies using embryos of Darwin's finches have shed light on the possible evolutionary processes underlying the speciation of this clade. Molecular identification of the sex of embryonic samples is important for such studies, where this information often cannot be inferred otherwise. We tested a fast and simple chicken embryo protocol to extract DNA from Darwin's finch embryos. In addition, we applied minor modifications to two of the previously reported PCR primer sets for CHD1, a gene used for sexing adult passerine birds. The sex of all 29 tested embryos of six species of Darwin's finches was determined successfully by PCR, using both primer sets. Next to embryos, hatchlings and fledglings are also impossible to distinguish visually. This extends to juveniles of sexually dimorphic species which are yet to moult in adult-like plumage and beak colouration. Furthermore, four species of Darwin's finches are monomorphic, males and females looking alike. Therefore, sex assessment in the field can be a source of error, especially with respect to juveniles and mature monomorphic birds outside of the mating season. We caught 567 juveniles and adults belonging to six species of Darwin's finches and only 44% had unambiguous sex-specific morphology. We sexed 363 birds by PCR: individuals sexed based on marginal sex specific morphological traits; and birds which were impossible to classify in the field. PCR revealed that for birds with marginal sex specific traits, sexing in the field produced a 13% error rate. This demonstrates that PCR based sexing can improve field studies on Darwin's finches, especially when individuals with unclear sex-related morphology are involved. The protocols used here provide an easy and reliable way to sex Darwin's finches throughout ontogeny, from embryos to adults.",33667220,https://pubmed.ncbi.nlm.nih.gov/33667220/,PMC7935298,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7935298/,,
10.1002/ece3.6994,Ecological and morphological determinants of evolutionary diversification in Darwin's finches and their relatives.,Ashley M Reaney; Yanis Bouchenak-Khelladi; Joseph A Tobias; Arkhat Abzhanov,2020-12-01,Ecology and evolution,"Darwin's finches are a classic example of adaptive radiation, a process by which multiple ecologically distinct species rapidly evolve from a single ancestor. Such evolutionary diversification is typically explained by adaptation to new ecological opportunities. However, the ecological diversification of Darwin's finches following their dispersal to Galápagos was not matched on the same archipelago by other lineages of colonizing land birds, which diversified very little in terms of both species number and morphology. To better understand the causes underlying the extraordinary variation in Darwin's finches, we analyze the evolutionary dynamics of speciation and trait diversification in Thraupidae, including Coerebinae (Darwin's finches and relatives) and, their closely related clade, Sporophilinae. For all traits, we observe an early pulse of speciation and morphological diversification followed by prolonged periods of slower steady-state rates of change. The primary exception is the apparent recent increase in diversification rate in Darwin's finches coupled with highly variable beak morphology, a potential key factor explaining this adaptive radiation. Our observations illustrate how the exploitation of ecological opportunity by contrasting means can produce clades with similarly high diversification rate yet strikingly different degrees of ecological and morphological differentiation.",33391699,https://pubmed.ncbi.nlm.nih.gov/33391699/,PMC7771120,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7771120/,,
10.1093/molbev/msaa289,An Experimental Test of Adaptive Introgression in Locally Adapted Populations of Splash Pool Copepods.,Joanna S Griffiths; Yasmeen Kawji; Morgan W Kelly,2021-04-13,Molecular biology and evolution,"As species struggle to keep pace with the rapidly warming climate, adaptive introgression of beneficial alleles from closely related species or populations provides a possible avenue for rapid adaptation. We investigate the potential for adaptive introgression in the copepod, Tigriopus californicus, by hybridizing two populations with divergent heat tolerance limits. We subjected hybrids to strong heat selection for 15 generations followed by whole-genome resequencing. Utilizing a hybridize evolve and resequence (HER) technique, we can identify loci responding to heat selection via a change in allele frequency. We successfully increased the heat tolerance (measured as LT50) in selected lines, which was coupled with higher frequencies of alleles from the southern (heat tolerant) population. These repeatable changes in allele frequencies occurred on all 12 chromosomes across all independent selected lines, providing evidence that heat tolerance is polygenic. These loci contained genes with lower protein-coding sequence divergence than the genome-wide average, indicating that these loci are highly conserved between the two populations. In addition, these loci were enriched in genes that changed expression patterns between selected and control lines in response to a nonlethal heat shock. Therefore, we hypothesize that the mechanism of heat tolerance divergence is explained by differential gene expression of highly conserved genes. The HER approach offers a unique solution to identifying genetic variants contributing to polygenic traits, especially variants that might be missed through other population genomic approaches.",33306808,https://pubmed.ncbi.nlm.nih.gov/33306808/,PMC8042754,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8042754/,,
10.1016/j.cub.2020.09.019,The Radiation of Darwin's Giant Daisies in the Galápagos Islands.,Mario Fernández-Mazuecos; Pablo Vargas; Ross A McCauley; David Monjas; Ana Otero; Jaime A Chaves; Juan Ernesto Guevara Andino; Gonzalo Rivas-Torres,2020-12-21,Current biology : CB,"Evolutionary radiations on oceanic islands have fascinated biologists since Darwin's exploration of the Galápagos archipelago [1, 2]. Island radiations can provide key insights for understanding rapid speciation, including evolutionary patterns and the processes behind them. However, lack of resolution of species relationships has historically hindered their investigation, particularly in the plant kingdom [3-5]. Here, we report a time-calibrated phylogenomic analysis based on genotyping-by-sequencing data [6] of the 15 species of Scalesia (Darwin's giant daisies), an iconic and understudied plant radiation endemic to the Galápagos Islands and considered the plant counterpart to Darwin's finches [1, 7-9]. Results support a Pliocene to early Pleistocene divergence between Scalesia and the closest South American relatives, and rapid diversification of extant Scalesia species from a common ancestor dated to the Middle Pleistocene. Major evolutionary patterns in Scalesia include the following: (1) lack of compliance with the ""progression rule"" hypothesis, in which earlier diverging lineages are expected to occupy older islands; (2) a predominance of within-island speciation over between-island speciation; and (3) repeated convergent evolution of potentially adaptive traits and habitat preferences on different islands during the course of diversification. Massive sequencing provided the essential framework for investigating evolutionary and ecological processes in the complex natural laboratory of the Galápagos, thereby advancing our understanding of island plant radiations.",33007244,https://pubmed.ncbi.nlm.nih.gov/33007244/,,,,
10.1038/s41559-020-1183-9,Female-biased gene flow between two species of Darwin's finches.,Sangeet Lamichhaney; Fan Han; Matthew T Webster; B Rosemary Grant; Peter R Grant; Leif Andersson,2020-07-01,Nature ecology & evolution,"The mosaic nature of hybrid genomes is well recognized, but little is known of how they are shaped initially by patterns of breeding, selection, recombination and differential incompatibilities. On the small Galápagos island of Daphne Major, two species of Darwin's finches, Geospiza fortis and G. scandens, hybridize rarely and back-cross bidirectionally with little or no loss of fitness under conditions of plentiful food. We used whole-genome sequences to compare genomes from periods before and after successful interbreeding followed by back-crossing. We inferred extensive introgression from G. fortis to G. scandens on autosomes and mitochondria but not on the Z chromosome. The unique combination of long-term field observations and genomic data shows that the reduction of gene flow for Z-linked loci primarily reflects female-biased gene flow, arising from a hybrid-male disadvantage in competition for high-quality territories and mates, rather than from genetic incompatibilities at Z-linked loci.",32367030,https://pubmed.ncbi.nlm.nih.gov/32367030/,,,,
