pmid,title,authors,journal,pub_date,abstract,doi,pmid_link,pmcid,pmcid_link
36063155,"Using neutral loci to quantify reproductive isolation and speciation: a commentary on Westram et al., 2022.","['Adam M M Stuckert', 'Daniel R Matute']",Journal of evolutionary biology,,,,https://pubmed.ncbi.nlm.nih.gov/36063155/,,
35931296,Intrinsically disordered BMP4 morphogen and the beak of the finch: Co-option of an ancient axial patterning system.,"['Prakash Kulkarni', 'Atish Mohanty', 'Ravi Salgia', 'Vladimir N Uversky']",International journal of biological macromolecules,,"Darwin's finches, with the primary diversity in the shape and size of their beaks, represent an excellent model system to study speciation and adaptive evolution. It is generally held that evolution depends on the natural selection of heritable phenotypic variations originating from the genetic mutations. However, it is now increasingly evident that epigenetic transgenerational inheritance of phenotypic variation can also guide evolutionary change. Several studies have shown that the bone morphogenetic protein BMP4 is a major driver of beak morphology. A recent study explored variability of the morphological, genetic, and epigenetic differences in the adjacent ""urban"" and ""rural"" populations of two species of Darwin's finches on the Galápagos Islands and revealed significant changes in methylation patterns in several genes including those involved in the BMP/TGFß pathway in the sperm DNA compared to erythrocyte DNA. These observations indicated that epigenetic changes caused by environmental fluctuations can be passed on to the offspring. Nonetheless, the mechanism by which dysregulated expression of BMP4 impacts beak morphology remains poorly understood. Here, we show that BMP4 is an intrinsically disordered protein and present a causal a link between epigenetic changes, BMP4 dysregulation and the evolution of the beak of the finch by natural selection.",,https://pubmed.ncbi.nlm.nih.gov/35931296/,,
35876520,[Small scale evolution].,['Jean-Michel Gibert'],Biologie aujourd'hui,,"Small-scale evolution or microevolution concerns evolution at the intra-specific level or between closely related species. At the intra-specific level, it allows the analysis of the evolutionary forces at work: mutation, genetic drift, migration and selection. Moreover, because of the short evolutionary time, it is easier to identify the genetic basis of observed phenotypic differences. Most studies focus on current populations but more and more analyses are performed on ancient DNA. This provides important information for tracing the history of populations and also allows the reconstruction of phenotypes of individuals that disappeared several thousand years ago. In this short review, I present studies showing how pre-zygotic or post-zygotic barriers involved in species formation are set up using the example of the geographical barrier due to the formation of the Isthmus of Panama and that of the heterochromatin divergence in Drosophilidae. I also describe the different approaches that have been used to identify the genetic basis of well known phenotypic variations: candidate gene approach (about melanism in felines), QTL mapping (variation in the number of lateral bone plates in sticklebacks), association study (pigmentation in the Asian ladybird). Finally, I illustrate the key impact of natural selection with the iconic example of the evolution of the beak of Galapagos finches, and the role of certain developmental genes in its morphological diversification.",,https://pubmed.ncbi.nlm.nih.gov/35876520/,,
35857449,Rapid adaptive radiation of Darwin's finches depends on ancestral genetic modules.,"['Carl-Johan Rubin', 'Erik D Enbody', 'Mariya P Dobreva', 'Arhat Abzhanov', 'Brian W Davis', 'Sangeet Lamichhaney', 'Mats Pettersson', 'Ashley T Sendell-Price', 'C Grace Sprehn', 'Carlos A Valle', 'Karla Vasco', 'Ola Wallerman', 'B Rosemary Grant', 'Peter R Grant', 'Leif Andersson']",Science advances,,"Recent adaptive radiations are models for investigating mechanisms contributing to the evolution of biodiversity. An unresolved question is the relative importance of new mutations, ancestral variants, and introgressive hybridization for phenotypic evolution and speciation. Here, we address this issue using Darwin's finches and investigate the genomic architecture underlying their phenotypic diversity. Admixture mapping for beak and body size in the small, medium, and large ground finches revealed 28 loci showing strong genetic differentiation. These loci represent ancestral haplotype blocks with origins predating speciation events during the Darwin's finch radiation. Genes expressed in the developing beak are overrepresented in these genomic regions. Ancestral haplotypes constitute genetic modules for selection and act as key determinants of the unusual phenotypic diversity of Darwin's finches. Such ancestral haplotype blocks can be critical for how species adapt to environmental variability and change.",,https://pubmed.ncbi.nlm.nih.gov/35857449/,PMC9269886,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9269886/
35494501,Where did the finch go? Insights from radio telemetry of the medium ground finch (Geospiza fortis).,"['Marc-Olivier Beausoleil', 'Carlos Camacho', 'Julio Rabadán-González', 'Kristen Lalla', 'Roxanne Richard', 'Paola Carrion-Avilés', 'Andrew P Hendry', 'Rowan D H Barrett']",Ecology and evolution,,"Movement patterns and habitat selection of animals have important implications for ecology and evolution. Darwin's finches are a classic model system for ecological and evolutionary studies, yet their spatial ecology remains poorly studied. We tagged and radio-tracked five (three females, two males) medium ground finches (Geospiza fortis) to examine the feasibility of telemetry for understanding their movement and habitat use. Based on 143 locations collected during a 3-week period, we analyzed for the first time home-range size and habitat selection patterns of finches at El Garrapatero, an arid coastal ecosystem on Santa Cruz Island (Galápagos). The average 95% home range and 50% core area for G. fortis in the breeding season was 20.54 ha ± 4.04 ha SE and 4.03 ha ± 1.11 ha SE, respectively. For most of the finches, their home range covered a diverse set of habitats. Three finches positively selected the dry-forest habitat, while the other habitats seemed to be either negatively selected or simply neglected by the finches. In addition, we noted a communal roosting behavior in an area close to the ocean, where the vegetation is greener and denser than the more inland dry-forest vegetation. We show that telemetry on Darwin's finches provides valuable data to understand the movement ecology of the species. Based on our results, we propose a series of questions about the ecology and evolution of Darwin's finches that can be addressed using telemetry.",,https://pubmed.ncbi.nlm.nih.gov/35494501/,PMC9039628,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9039628/
35116148,"Darwin's small and medium ground finches might have taste preferences, but not for human foods.","['D Lever', 'L V Rush', 'R Thorogood', 'K M Gotanda']",Royal Society open science,,"Urbanization is rapidly changing ecological niches. On the inhabited Galapagos Islands, Darwin's finches consume human-introduced foods preferentially; however, it remains unclear why. Here, we presented pastry with flavour profiles typical of human foods (oily, salty and sweet) to small ground finches (Geospiza fuliginosa) and medium ground finches (Geospiza fortis) to test if latent taste preferences might drive the selection of human foods. If human food flavours were consumed more than a neutral or bitter control only at sites with human foods, then we predicted tastes were acquired after urbanization; however, if no site differences were found then this would indicate latent taste preferences. Contrary to both predictions, we found little evidence that human food flavours were preferred compared with control flavours at any site. Instead, finches showed a weak aversion to oily foods, but only at remote (no human foods present) sites. This was further supported by behavioural responses, with beak-wiping occurring more often at remote sites after finches tasted flavours associated with human foods. Our results suggest, therefore, that while Darwin's finches regularly exposed to human foods might have acquired a tolerance to human food flavours, latent taste preferences are unlikely to have played a major role in their dietary response to increased urbanization.",,https://pubmed.ncbi.nlm.nih.gov/35116148/,PMC8790341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8790341/
34921614,Independent evolution of intermediate bill widths in a seabird clade.,"['Juan F Masello', 'Peter G Ryan', 'Lara D Shepherd', 'Petra Quillfeldt', 'Yves Cherel', 'Alan J D Tennyson', 'Rachael Alderman', 'Luciano Calderón', 'Theresa L Cole', 'Richard J Cuthbert', 'Ben J Dilley', 'Melanie Massaro', 'Colin M Miskelly', 'Joan Navarro', 'Richard A Phillips', 'Henri Weimerskirch', 'Yoshan Moodley']",Molecular genetics and genomics : MGG,,"Interspecific introgression can occur between species that evolve rapidly within an adaptive radiation. Pachyptila petrels differ in bill size and are characterised by incomplete reproductive isolation, leading to interspecific gene flow. Salvin's prion (Pachyptila salvini), whose bill width is intermediate between broad-billed (P. vittata) and Antarctic (P. desolata) prions, evolved through homoploid hybrid speciation. MacGillivray's prion (P. macgillivrayi), known from a single population on St Paul (Indian Ocean), has a bill width intermediate between salvini and vittata and could also be the product of interspecies introgression or hybrid speciation. Recently, another prion population phenotypically similar to macgillivrayi was discovered on Gough (Atlantic Ocean), where it breeds 3 months later than vittata. The similarity in bill width between the medium-billed birds on Gough and macgillivrayi suggest that they could be closely related. In this study, we used genetic and morphological data to infer the phylogenetic position and evolutionary history of P. macgillivrayi and the Gough medium-billed prion relative other Pachyptila taxa, to determine whether species with medium bill widths evolved through common ancestry or convergence. We found that Gough medium-billed prions belong to the same evolutionary lineage as macgillivrayi, representing a new population of MacGillivray's prion that originated through a colonisation event from St Paul. We show that macgillivrayi's medium bill width evolved through divergence (genetic drift) and independently from that of salvini, which evolved through hybridisation (gene flow). This represents the independent convergence towards a similarly medium-billed phenotype. The newly discovered MacGillivray's prion population on Gough is of utmost conservation relevance, as the relict macgillivrayi population in the Indian Ocean is very small.",,https://pubmed.ncbi.nlm.nih.gov/34921614/,PMC8803701,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8803701/
34905711,Female in-nest attendance predicts the number of ectoparasites in Darwin's finch species.,"['Sonia Kleindorfer', 'Lauren K Common', ""Jody A O'Connor"", 'Jefferson Garcia-Loor', 'Andrew C Katsis', 'Rachael Y Dudaniec', 'Diane Colombelli-Négrel', 'Nico M Adreani']",Proceedings. Biological sciences,,"Selection should act on parental care and favour parental investment decisions that optimize the number of offspring produced. Such predictions have been robustly tested in predation risk contexts, but less is known about alternative functions of parental care under conditions of parasitism. The avian vampire fly (Philornis downsi) is a myasis-causing ectoparasite accidentally introduced to the Galápagos Islands, and one of the major mortality causes in Darwin's finch nests. With an 11-year dataset spanning 21 years, we examine the relationship between parental care behaviours and number of fly larvae and pupae in Darwin's finch nests. We do so across three host species (Camarhynchus parvulus, C. pauper, Geospiza fuliginosa) and one hybrid Camarhynchus group. Nests with longer female brooding duration (minutes per hour spent sitting on hatchlings to provide warmth) had fewer parasites, and this effect depended on male food delivery to chicks. Neither male age nor number of nest provisioning visits were directly associated with number of parasites. While the causal mechanisms remain unknown, we provide the first empirical study showing that female brooding duration is negatively related to the number of ectoparasites in nests. We predict selection for coordinated host male and female behaviour to reduce gaps in nest attendance, especially under conditions of novel and introduced ectoparasites.",,https://pubmed.ncbi.nlm.nih.gov/34905711/,PMC8670954,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8670954/
34878103,"The genome sequence of the avian vampire fly (Philornis downsi), an invasive nest parasite of Darwin's finches in Galápagos.","['Melia G Romine', 'Sarah A Knutie', 'Carly M Crow', 'Grace J Vaziri', 'Jaime A Chaves', 'Jennifer A H Koop', 'Sangeet Lamichhaney']",G3,,"The invasive avian vampire fly (Philornis downsi, Diptera: Muscidae) is considered one of the greatest threats to the endemic avifauna of the Galápagos Islands. The fly larvae parasitize nearly every passerine species, including Darwin's finches. Most P. downsi research to date has focused on the effects of the fly on avian host fitness and mitigation methods. A lag in research related to the genetics of this invasion demonstrates, in part, the need to develop full-scale genomic resources with which to address further questions within this system. In this study, an adult female P. downsi was sequenced to generate a high-quality genome assembly. We examined various features of the genome (e.g., coding regions and noncoding transposable elements) and carried out comparative genomics analysis against other dipteran genomes. We identified lists of gene families that are significantly expanding or contracting in P. downsi that are related to insecticide resistance, detoxification, and counter defense against host immune responses. The P. downsi genome assembly provides an important resource for studying the molecular basis of successful invasion in the Galápagos and the dynamics of its population across multiple islands. The findings of significantly changing gene families associated with insecticide resistance and immune responses highlight the need for further investigations into the role of different gene families in aiding the fly's successful invasion. Furthermore, this genomic resource provides a necessary tool to better inform future research studies and mitigation strategies aimed at minimizing the fly's impact on Galápagos birds.",,https://pubmed.ncbi.nlm.nih.gov/34878103/,PMC9210292,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9210292/
34750258,"Geometry and dynamics link form, function, and evolution of finch beaks.","['Salem Al-Mosleh', 'Gary P T Choi', 'Arhat Abzhanov', 'L Mahadevan']",Proceedings of the National Academy of Sciences of the United States of America,,"Darwin's finches are a classic example of adaptive radiation, exemplified by their adaptive and functional beak morphologies. To quantify their form, we carry out a morphometric analysis of the three-dimensional beak shapes of all of Darwin's finches and find that they can be fit by a transverse parabolic shape with a curvature that increases linearly from the base toward the tip of the beak. The morphological variation of beak orientation, aspect ratios, and curvatures allows us to quantify beak function in terms of the elementary theory of machines, consistent with the dietary variations across finches. Finally, to explain the origin of the evolutionary morphometry and the developmental morphogenesis of the finch beak, we propose an experimentally motivated growth law at the cellular level that simplifies to a variant of curvature-driven flow at the tissue level and captures the range of observed beak shapes in terms of a simple morphospace. Altogether, our study illuminates how a minimal combination of geometry and dynamics allows for functional form to develop and evolve.",,https://pubmed.ncbi.nlm.nih.gov/34750258/,PMC8609615,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8609615/
34687609,A multispecies BCO2 beak color polymorphism in the Darwin's finch radiation.,"['Erik D Enbody', 'C Grace Sprehn', 'Arhat Abzhanov', 'Huijuan Bi', 'Mariya P Dobreva', 'Owen G Osborne', 'Carl-Johan Rubin', 'Peter R Grant', 'B Rosemary Grant', 'Leif Andersson']",Current biology : CB,,"Carotenoid-based polymorphisms are widespread in populations of birds, fish, and reptiles,1 but generally little is known about the factors affecting their maintenance in populations.2 We report a combined field and molecular-genetic investigation of a nestling beak color polymorphism in Darwin's finches. Beaks are pink or yellow, and yellow is recessive.3 Here we show that the polymorphism arose in the Galápagos half a million years ago through a mutation associated with regulatory change in the BCO2 gene and is shared by 14 descendant species. The polymorphism is probably a balanced polymorphism, maintained by ecological selection associated with survival and diet. In cactus finches, the frequency of the yellow genotype is correlated with cactus fruit abundance and greater hatching success and may be altered by introgressive hybridization. Polymorphisms that are hidden as adults, as here, may be far more common than is currently recognized, and contribute to diversification in ways that are yet to be discovered.",,https://pubmed.ncbi.nlm.nih.gov/34687609/,,
34330836,Morphological ghosts of introgression in Darwin's finch populations.,"['Peter R Grant', 'B Rosemary Grant']",Proceedings of the National Academy of Sciences of the United States of America,,"Many species of plants, animals, and microorganisms exchange genes well after the point of evolutionary divergence at which taxonomists recognize them as species. Genomes contain signatures of past gene exchange and, in some cases, they reveal a legacy of lineages that no longer exist. But genomic data are not available for many organisms, and particularly problematic for reconstructing and interpreting evolutionary history are communities that have been depleted by extinctions. For these, morphology may substitute for genes, as exemplified by the history of Darwin's finches on the Galápagos islands of Floreana and San Cristóbal. Darwin and companions collected seven specimens of a uniquely large form of Geospiza magnirostris in 1835. The populations became extinct in the next few decades, partly due to destruction of Opuntia cactus by introduced goats, whereas Geospiza fortis has persisted to the present. We used measurements of large samples of G. fortis collected for museums in the period 1891 to 1906 to test for unusually large variances and skewed distributions of beak and body size resulting from introgression. We found strong evidence of hybridization on Floreana but not on San Cristóbal. The skew is in the direction of the absent G. magnirostris We estimate introgression influenced 6% of the frequency distribution that was eroded by selection after G. magnirostris became extinct on these islands. The genetic residuum of an extinct species in an extant one has implications for its future evolution, as well as for a conservation program of reintroductions in extinction-depleted communities.",,https://pubmed.ncbi.nlm.nih.gov/34330836/,PMC8346875,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8346875/
